Id	Name	Group	Fq1	Fq2	Ctrl	PeakMode	PeakOpt
DE_Ctrl_ChIP_RING1B_A6	DE_Ctrl_ChIP_RING1B_A6	DE_Ctrl_ChIP_RING1B	Lib492_1.fq.gz	Lib492_2.fq.gz	DE_Ctrl_ChIP_Input_CloneA6	histone	-size 1000 -minDist 2000
DE_Ctrl_ChIP_RING1B_H5	DE_Ctrl_ChIP_RING1B_H5	DE_Ctrl_ChIP_RING1B	Lib493_1.fq.gz	Lib493_2.fq.gz	DE_Ctrl_ChIP_Input_CloneH5	histone	-size 1000 -minDist 2000
DE_FOXACRISPRi_ChIP_RING1B_A6	DE_FOXACRISPRi_ChIP_RING1B_A6	DE_FOXACRISPRi_ChIP_RING1B	Lib494_1.fq.gz	Lib494_2.fq.gz	DE_Ctrl_ChIP_Input_CloneA6	histone	-size 1000 -minDist 2000
DE_FOXACRISPRi_ChIP_RING1B_H5	DE_FOXACRISPRi_ChIP_RING1B_H5	DE_FOXACRISPRi_ChIP_RING1B	Lib495_1.fq.gz	Lib495_2.fq.gz	DE_Ctrl_ChIP_Input_CloneH5	histone	-size 1000 -minDist 2000
DE_Ctrl_ChIP_RYBP_A6	DE_Ctrl_ChIP_RYBP_A6	DE_Ctrl_ChIP_RYBP	Lib496_1.fq.gz	Lib496_2.fq.gz	DE_Ctrl_ChIP_Input_CloneA6	histone	-size 1000 -minDist 2000
DE_Ctrl_ChIP_RYBP_H5	DE_Ctrl_ChIP_RYBP_H5	DE_Ctrl_ChIP_RYBP	Lib497_1.fq.gz	Lib497_2.fq.gz	DE_Ctrl_ChIP_Input_CloneH5	histone	-size 1000 -minDist 2000
DE_FOXACRISPRi_ChIP_RYBP_A6	DE_FOXACRISPRi_ChIP_RYBP_A6	DE_FOXACRISPRi_ChIP_RYBP	Lib498_1.fq.gz	Lib498_2.fq.gz	DE_Ctrl_ChIP_Input_CloneA6	histone	-size 1000 -minDist 2000
DE_FOXACRISPRi_ChIP_RYBP_H5	DE_FOXACRISPRi_ChIP_RYBP_H5	DE_FOXACRISPRi_ChIP_RYBP	Lib499_1.fq.gz	Lib499_2.fq.gz	DE_Ctrl_ChIP_Input_CloneH5	histone	-size 1000 -minDist 2000
DE_Ctrl_ChIP_SUZ12_A6	DE_Ctrl_ChIP_SUZ12_A6	DE_Ctrl_ChIP_SUZ12	Lib500_1.fq.gz	Lib500_2.fq.gz	DE_Ctrl_ChIP_Input_CloneA6	histone	-size 1000 -minDist 2000
DE_Ctrl_ChIP_SUZ12_H5	DE_Ctrl_ChIP_SUZ12_H5	DE_Ctrl_ChIP_SUZ12	Lib501_1.fq.gz	Lib501_2.fq.gz	DE_Ctrl_ChIP_Input_CloneH5	histone	-size 1000 -minDist 2000
DE_FOXACRISPRi_ChIP_SUZ12_A6	DE_FOXACRISPRi_ChIP_SUZ12_A6	DE_FOXACRISPRi_ChIP_SUZ12	Lib502_1.fq.gz	Lib502_2.fq.gz	DE_Ctrl_ChIP_Input_CloneA6	histone	-size 1000 -minDist 2000
DE_FOXACRISPRi_ChIP_SUZ12_H5	DE_FOXACRISPRi_ChIP_SUZ12_H5	DE_FOXACRISPRi_ChIP_SUZ12	Lib503_1.fq.gz	Lib503_2.fq.gz	DE_Ctrl_ChIP_Input_CloneH5	histone	-size 1000 -minDist 2000
DE_Ctrl_ChIP_PRDM1_A6	DE_Ctrl_ChIP_PRDM1_A6	DE_Ctrl_ChIP_PRDM1	Lib504_1.fq.gz	Lib504_2.fq.gz	DE_Ctrl_ChIP_Input_CloneA6	histone	-size 1000 -minDist 2000
DE_Ctrl_ChIP_PRDM1_H5	DE_Ctrl_ChIP_PRDM1_H5	DE_Ctrl_ChIP_PRDM1	Lib505_1.fq.gz	Lib505_2.fq.gz	DE_Ctrl_ChIP_Input_CloneH5	histone	-size 1000 -minDist 2000
DE_FOXACRISPRi_ChIP_PRDM1_A6	DE_FOXACRISPRi_ChIP_PRDM1_A6	DE_FOXACRISPRi_ChIP_PRDM1	Lib506_1.fq.gz	Lib506_2.fq.gz	DE_Ctrl_ChIP_Input_CloneA6	histone	-size 1000 -minDist 2000
DE_FOXACRISPRi_ChIP_PRDM1_H5	DE_FOXACRISPRi_ChIP_PRDM1_H5	DE_FOXACRISPRi_ChIP_PRDM1	Lib507_1.fq.gz	Lib507_2.fq.gz	DE_Ctrl_ChIP_Input_CloneH5	histone	-size 1000 -minDist 2000
